PARAM,FECHA,0
CO,2017-05-29,0.42594877344877347
CO,2017-05-30,0.367013888888889
CO,2017-05-31,0.43504561990259927
CO,2017-06-01,0.46132716049382716
CO,2017-06-02,0.4088839285714286
CO,2017-06-03,0.46623967325721705
CO,2017-06-04,0.42057823129251704
CO,2017-06-05,0.45136711502782945
CO,2017-06-06,0.5507639789127993
CO,2017-06-07,0.5739759787314135
CO,2017-06-08,0.45022644927536243
CO,2017-06-09,0.5336736123280352
CO,2017-06-10,0.5904351395730707
CO,2017-06-11,0.4419502748625686
CO,2017-06-12,0.48644080557124053
CO,2017-06-13,0.45471491228070177
CO,2017-06-14,0.416783126293996
CO,2017-06-15,0.41125776397515523
CO,2017-06-16,0.4897352092352092
CO,2017-06-17,0.43707729468599044
CO,2017-06-18,0.40393236714975855
