,Contaminante,Fecha,aqip_median,cdmx_median
4103,O3,2019-11-06,13.068,19.30434782608696
4104,O3,2019-11-12,19.008,24.625
4105,O3,2019-12-14,24.624000000000002,27.318181818181817
4106,O3,2019-12-19,15.66,24.214285714285715
4107,O3,2019-12-25,21.6,28.20833333333333
4108,O3,2019-10-22,18.144,19.666666666666668
4109,O3,2019-10-25,12.095999999999998,16.604166666666664
4110,O3,2019-10-27,21.6,30.43478260869565
4111,O3,2019-11-21,17.604,24.5
4112,O3,2019-12-27,26.028,33.535714285714285
4113,O3,2019-10-17,10.26,6.625
4114,O3,2019-10-21,13.068,18.59090909090909
4115,O3,2019-11-01,11.232000000000001,21.5
4116,O3,2019-11-15,18.144,27.142857142857146
4117,O3,2019-11-16,15.66,19.83333333333333
4118,O3,2019-11-22,14.688,20.145833333333336
4119,O3,2019-12-02,14.688,23.608695652173914
4120,O3,2019-12-31,15.336,20.125
4121,O3,2019-12-31,15.336,20.125
4122,O3,2019-10-19,13.824000000000002,17.395833333333336
4123,O3,2019-10-23,19.008,24.958333333333336
4124,O3,2019-11-24,15.66,22.708333333333336
4125,O3,2019-11-28,13.500000000000002,18.291666666666664
4126,O3,2020-01-01,17.28,17.543478260869566
4127,O3,2020-01-01,17.28,17.543478260869566
4128,O3,2020-01-04,15.66,23.66666666666667
4129,O3,2020-01-04,15.66,23.66666666666667
4130,O3,2019-10-26,15.66,20.4375
4131,O3,2019-11-19,18.144,23.16666666666667
4132,O3,2019-12-01,22.464000000000002,23.895833333333336
4133,O3,2019-12-16,23.328000000000007,24.354166666666664
4134,O3,2019-12-17,20.736,23.958333333333336
4135,O3,2019-12-22,8.64,9.470588235294116
4136,O3,2019-12-28,9.504,19.70833333333333
4137,O3,2019-10-09,19.872,27.130434782608692
4138,O3,2019-10-11,17.064000000000004,24.04166666666667
4139,O3,2019-10-31,12.095999999999998,13.458333333333336
4140,O3,2019-12-18,9.935999999999998,14.208333333333332
4141,O3,2019-12-23,15.66,21.08333333333333
4142,O3,2019-10-14,15.336,21.25
4143,O3,2019-10-16,12.095999999999998,11.285714285714285
4144,O3,2019-11-17,19.008,27.08333333333333
4145,O3,2019-11-20,15.66,22.347826086956523
4146,O3,2019-12-04,14.688,22.729166666666664
4147,O3,2019-12-05,17.064000000000004,25.979166666666664
4148,O3,2020-01-03,18.144,22.66666666666667
4149,O3,2020-01-03,18.144,22.66666666666667
4150,O3,2019-10-12,20.412,24.54166666666667
4151,O3,2019-11-11,18.144,24.75
4152,O3,2019-12-03,13.824000000000002,22.23809523809524
4153,O3,2019-12-08,17.28,28.71146245059289
4154,O3,2019-12-13,13.068,16.75
4155,O3,2019-11-10,15.66,22.70833333333333
4156,O3,2019-12-21,16.416,19.880952380952387
