date, pm25, pm10, o3, so2, co
2019/11/28, 15, 71, , , 1
2019/11/29, 15, 108, , , 2
2019/11/30, 33, 92, , , 2
2019/12/1, 28, 40, , , 1
2019/12/2, 9, 29, , , 1
2019/12/3, 5, , , , 
2019/12/11, 11, 36, , , 1
2019/12/12, 12, 74, , , 1
2019/12/13, 27, 68, , , 2
2019/12/14, 19, 59, , , 1
2019/12/15, 13, 59, , , 2
2019/12/16, 17, 84, , , 1
2019/12/17, 14, 38, , , 1
2019/12/18, 5, 30, , , 1
2019/12/19, 6, 46, , , 1
2019/12/20, 11, 80, , , 1
2019/12/21, 21, 52, , , 2
2019/12/22, 20, 37, , , 1
2019/12/23, 17, 66, , , 2
2019/12/24, 20, 64, , , 2
2019/12/25, 23, 93, , , 2
2019/12/26, 54, 64, , , 1
2019/12/27, 29, 43, , , 1
2019/12/28, 19, 44, 11, 7, 20
2019/12/29, 71, , , , 
2019/7/3, 18, 44, , , 
2019/7/4, 17, 56, , , 
2019/7/5, 22, 61, , , 
2019/7/6, 21, 36, , , 
2019/7/7, 12, 29, , , 
2019/7/8, 10, 45, , , 
2019/7/9, 14, 56, , , 
2019/7/10, 18, 54, , , 
2019/7/11, 18, 48, , , 
2019/7/12, 13, 27, , , 
2019/7/13, 9, 36, , , 
2019/7/14, 13, 43, , , 
2019/7/15, 15, 40, , , 1
2019/7/16, 16, 36, , , 
2019/7/17, 14, 28, , , 
2019/7/18, 11, 45, , , 
2019/7/19, 14, 47, , , 
2019/7/20, 14, 46, , , 
2019/7/21, 17, 49, , , 
2019/7/22, 17, 33, , , 
2019/7/23, 12, 38, , , 
2019/7/24, 11, 22, , , 
2019/7/25, 8, 32, , , 
2019/7/26, 13, 25, , , 
2019/7/27, 9, 25, , , 
2019/7/28, 11, 45, , , 
2019/7/29, 18, 34, , , 
2019/7/30, 11, 55, , , 
2019/7/31, 20, 80, , , 
2019/8/1, 25, 54, , , 
2019/8/2, 22, 36, , , 
2019/8/3, 7, 34, , , 
2019/8/4, 9, 33, , , 
2019/8/5, 8, 42, , , 
2019/8/6, 10, 47, , , 
2019/8/7, 17, 41, , , 
2019/8/8, 18, 45, , , 
2019/8/17, 13, 30, , , 
2019/8/18, 16, 36, , , 
2019/8/19, 17, 17, , , 
2019/8/20, 11, 34, , , 
2019/8/21, 19, 21, , , 
2019/8/22, 7, 26, , , 
2019/8/23, 8, 34, , , 
2019/8/24, 9, 40, , , 
2019/8/25, 12, 25, , , 
2019/8/26, 11, 45, , , 
2019/8/27, 13, 43, , , 
2019/8/28, 19, 44, , , 
2019/8/29, 22, 37, , , 
2019/8/30, 12, 42, , , 
2019/8/31, 14, , , , 
2019/9/3, 9, 17, , , 
2019/9/4, 7, , , , 
2019/9/5, 4, 13, , , 
2019/9/6, 5, 20, , , 
2019/9/7, 16, 26, , , 
2019/9/8, 16, 22, , , 
2019/9/9, 18, 23, , , 
2019/9/10, 13, 14, , , 
2019/9/11, 10, 13, , , 
2019/9/12, 9, 8, , , 
2019/9/13, 4, , , , 
2019/9/17, 10, 22, , , 1
2019/9/18, 13, 31, , , 1
2019/9/20, 22, 27, , , 1
2019/9/21, 19, , , , 
2019/9/24, 11, 29, , , 1
2019/9/25, 11, 35, , , 1
2019/9/26, 15, 36, , , 1
2019/9/27, 15, 36, , , 1
2019/9/28, 14, 22, , , 1
2019/9/29, 8, 17, , , 1
2019/9/30, 7, 12, , , 1
2019/10/1, 7, 11, , , 1
2019/4/2, , , , , 
2019/4/3, , , , , 
2019/4/4, , , , , 
2019/4/5, , , , , 
2019/4/6, , , , , 
2019/4/7, , , , , 
2019/4/8, , , , , 
2019/4/9, , , , , 
2019/4/10, , , , , 
2019/4/11, , , , , 
2019/4/12, , , , , 
2019/4/13, , , , , 
2019/4/14, , , , , 
2019/4/15, , , , , 
2019/4/16, , , , , 
2019/4/17, , , , , 
2019/4/18, , , , , 
2019/4/19, , , , , 
2019/4/20, , , , , 
2019/4/21, , , , , 
2019/4/22, , , , , 
2019/4/23, , , , , 
2019/4/24, , , , , 
2019/4/25, , , , , 
2019/4/26, , , , , 
2019/4/27, , , , , 
2019/4/28, , , , , 
2019/4/29, , , , , 
2019/4/30, , , , , 
2019/5/1, , , , , 
2019/5/2, , , , , 
2019/5/3, , , , , 
2019/5/4, , , , , 
2019/5/5, , , , , 
2019/5/6, , , , , 
2019/5/7, , , , , 
2019/5/8, , , , , 
2019/5/9, , , , , 
2019/5/10, , , , , 
2019/5/11, , , , , 
2019/5/12, , , , , 
2019/5/13, , , , , 
2019/5/14, , , , , 
2019/5/15, , , , , 
2019/5/16, , , , , 
2019/5/17, , , , , 
2019/5/18, , , , , 
2019/5/19, , , , , 
2019/5/20, , , , , 
2019/5/21, , , , , 
2019/5/22, , , , , 
2019/5/23, , , , , 
2019/5/24, , , , , 
2019/5/25, , , , , 
2019/5/26, , , , , 
2019/5/27, , , , , 
2019/5/28, , , , , 
2019/5/29, , , , , 
2019/5/30, , , , , 
2019/5/31, , , , , 
2019/6/1, , , , , 
2019/6/2, , , , , 
2019/6/3, , , , , 
2019/6/4, , , , , 
2019/6/5, , , , , 
2019/6/6, , , , , 
2019/6/7, , , , , 
2019/6/8, , , , , 
2019/6/9, , , , , 
2019/6/10, , , , , 
2019/6/11, , , , , 
2019/6/12, , , , , 
2019/6/13, , , , , 
2019/6/14, , , , , 
2019/6/15, , , , , 
2019/6/17, , , , , 
2019/6/18, , , , , 
2019/6/19, , , , , 
2019/6/20, , , , , 
2019/6/21, , , , , 
2019/6/22, , , , , 
2019/6/23, , , , , 
2019/6/24, , , , , 
2019/6/25, , , , , 
2019/6/26, , , , , 
2019/6/27, , , , , 
2019/6/28, , 35, , , 
2019/6/29, 13, 42, , , 
2019/1/2, , , , , 
2019/1/3, , , , , 
2019/1/4, , , , , 
2019/1/5, , , , , 
2019/1/6, , , , , 
2019/1/7, , , , , 
2019/1/8, , , , , 
2019/1/9, , , , , 
2019/1/10, , , , , 
2019/1/11, , , , , 
2019/1/12, , , , , 
2019/1/13, , , , , 
2019/1/14, , , , , 
2019/1/15, , , , , 
2019/1/16, , , , , 
2019/1/17, , , , , 
2019/1/18, , , , , 
2019/1/19, , , , , 
2019/1/20, , , , , 
2019/1/21, , , , , 
2019/1/22, , , , , 
2019/1/23, , , , , 
2019/1/24, , , , , 
2019/1/25, , , , , 
2019/1/26, , , , , 
2019/1/27, , , , , 
2019/1/28, , , , , 
2019/1/29, , , , , 
2019/1/30, , , , , 
2019/1/31, , , , , 
2019/2/1, , , , , 
2019/2/2, , , , , 
2019/2/3, , , , , 
2019/2/4, , , , , 
2019/2/5, , , , , 
2019/2/6, , , , , 
2019/2/7, , , , , 
2019/2/8, , , , , 
2019/2/9, , , , , 
2019/2/10, , , , , 
2019/2/11, , , , , 
2019/2/12, , , , , 
2019/2/13, , , , , 
2019/2/14, , , , , 
2019/2/15, , , , , 
2019/2/16, , , , , 
2019/2/17, , , , , 
2019/2/18, , , , , 
2019/2/19, , , , , 
2019/2/20, , , , , 
2019/2/21, , , , , 
2019/2/22, , , , , 
2019/2/23, , , , , 
2019/2/24, , , , , 
2019/2/25, , , , , 
2019/2/26, , , , , 
2019/2/27, , , , , 
2019/2/28, , , , , 
2019/3/1, , , , , 
2019/3/2, , , , , 
2019/3/6, , , , , 
2019/3/7, , , , , 
2019/3/8, , , , , 
2019/3/9, , , , , 
2019/3/10, , , , , 
2019/3/11, , , , , 
2019/3/12, , , , , 
2019/3/13, , , , , 
2019/3/14, , , , , 
2019/3/15, , , , , 
2019/3/16, , , , , 
2019/3/23, , , , , 
2019/3/24, , , , , 
2019/3/25, , , , , 
2019/3/26, , , , , 
2019/3/30, , , , , 
2019/3/31, , , , , 
2019/4/1, , , , , 
2018/10/2, 5, 21, , , 2
2018/10/3, 5, 22, , , 1
2018/10/4, 5, 30, , , 1
2018/10/5, 8, 32, , , 1
2018/10/6, 8, 29, , , 1
2018/10/7, 10, 35, , , 1
2018/10/8, 10, 34, , , 1
2018/10/9, 12, 46, , , 1
2018/10/10, 15, 46, , , 
2018/10/12, 5, 23, , , 1
2018/10/13, 6, 43, , , 1
2018/10/14, 14, 45, , , 1
2018/10/15, 16, 26, , , 1
2018/10/16, 8, 17, , , 
2018/10/17, 4, 25, , , 1
2018/10/18, 6, 22, , , 1
2018/10/19, 7, 35, , , 1
2018/10/20, 11, , , , 
2018/11/8, 21, 72, , , 1
2018/11/9, 28, 27, , , 1
2018/11/10, 8, 17, , , 1
2018/11/11, 6, 62, , , 1
2018/11/12, 23, 36, , , 1
2018/11/13, 14, 29, , , 1
2018/11/14, 7, 38, , , 1
2018/11/15, 12, 57, , , 1
2018/11/16, 21, 61, , , 1
2018/11/17, 21, 75, , , 1
2018/11/18, 30, 61, , , 1
2018/11/19, 22, , , , 1
2018/11/20, 16, 18, , , 1
2018/11/21, 12, 27, , , 1
2018/11/22, 16, 29, , , 1
2018/11/23, 17, 40, , , 1
2018/11/24, 27, 50, , , 1
2018/11/25, 27, 46, , , 1
2018/11/26, 13, 45, , , 1
2018/11/27, 8, , , , 
2018/12/4, 13, 26, , , 1
2018/12/5, 9, 6, , , 1
2018/12/6, 5, 44, , , 1
2018/12/7, 23, 34, , , 1
2018/12/8, 23, 14, , , 1
2018/12/9, 10, 27, , , 1
2018/12/10, 21, 41, , , 1
2018/12/11, 20, 29, , , 1
2018/12/12, 14, 84, , , 2
2018/12/13, 34, 47, , , 1
2018/12/14, 12, 35, , , 1
2018/12/15, 5, 42, , , 1
2018/12/16, 12, 42, , , 1
2018/12/17, 19, 37, , , 1
2018/12/18, 11, 69, , , 1
2018/12/19, 29, 77, , , 1
2018/12/20, 25, 35, , , 1
2018/12/21, 6, 32, , , 1
2018/12/22, 8, 50, , , 1
2018/12/23, 14, 45, , , 1
2018/12/24, 12, 40, , , 1
2018/12/25, 18, 76, , , 1
2018/12/26, 45, 50, , , 1
2018/12/27, 25, 63, , , 1
2018/12/28, 21, 47, , , 1
2018/12/29, 11, 10, , , 1
2018/12/30, 10, 20, , , 1
2018/12/31, 17, , , , 
2018/7/20, 21, , , , 2
2018/7/21, 19, 62, , , 2
2018/7/22, 20, 67, , , 2
2018/7/23, 27, 97, , , 2
2018/7/24, 18, 74, , , 2
2018/7/25, 21, 88, , , 2
2018/7/26, 23, 100, , , 2
2018/7/27, 21, 75, , , 2
2018/7/28, 24, 78, , , 2
2018/7/29, 22, 80, , , 2
2018/7/31, 14, 47, , , 2
2018/8/1, 13, 48, , , 2
2018/8/2, 12, 30, , , 2
2018/9/6, 5, 24, , , 2
2018/9/7, 6, 23, , , 2
2018/9/8, 7, 24, , , 2
2018/9/9, 9, 36, , , 2
2018/9/10, 8, 20, , , 2
2018/9/11, 6, 20, , , 2
2018/9/12, 5, 24, , , 2
2018/9/13, 8, 31, , , 2
2018/9/14, 4, 26, , , 2
2018/9/15, 5, , , , 2
2018/9/16, 6, , , , 2
2018/9/20, 14, 23, , , 2
2018/9/21, 11, 24, , , 2
2018/9/22, 13, 32, , , 2
2018/9/23, 7, 17, , , 2
2018/9/24, 7, 20, , , 2
2018/9/25, 11, 29, , , 2
2018/9/26, 18, 50, , , 2
2018/9/27, 16, 41, , , 2
2018/9/28, 5, 16, , , 2
2018/9/29, 6, 17, , , 2
2018/9/30, 4, 15, , , 2
2018/10/1, 4, 16, , , 2
2018/4/2, 18, 57, , , 2
2018/4/3, 25, 78, , , 2
2018/4/4, 26, 45, , , 2
2018/4/5, 12, 70, , , 2
