date, pm25, pm10, o3, no2, so2, co
2019/11/1, , 116, , , , 
2019/11/2, , 53, , , , 
2019/11/3, , 36, , , , 
2019/11/4, , 66, , , , 
2019/11/5, , 40, , , , 
2019/11/6, , 33, , , , 
2019/11/7, , 36, , , , 
2019/11/8, , 19, , , , 
2019/11/9, , 34, , , , 
2019/11/10, , 32, , , , 
2019/11/11, , 53, , , , 
2019/11/12, , 15, , , , 
2019/11/13, , 26, , , , 
2019/11/14, , 42, , , , 
2019/11/15, , 49, , , , 
2019/11/16, , 58, , , , 
2019/11/17, , 55, , , , 
2019/11/18, , 55, , , , 
2019/11/19, , 87, , , , 
2019/11/20, , 55, , , , 
2019/11/21, , 49, , , , 
2019/11/22, , 54, , , , 
2019/11/23, , 38, , , , 
2019/11/24, , 82, , , , 
2019/11/25, , 88, , , , 
2019/11/26, , 103, , , , 
2019/11/27, , 99, , , , 
2019/11/28, , 58, , , , 
2019/11/29, , 108, , , , 
2019/12/10, , 91, , , , 1
2019/9/2, , 38, , , , 
2019/9/13, , 32, , , , 
2019/9/15, , 31, , , , 
2019/9/16, , 29, , , , 
2019/4/1, , , , , , 
2019/5/24, , , , , , 
2019/5/25, , , , , , 
2019/5/26, , , , , , 
2019/5/27, , , , , , 
2019/5/28, , , , , , 
2019/5/29, , , , , , 
2019/5/30, , , , , , 
2019/5/31, , , , , , 
2019/6/1, , , , , , 
2019/6/2, , , , , , 
2019/6/3, , , , , , 
2019/6/4, , , , , , 
2019/6/5, , , , , , 
2019/6/6, , , , , , 
2019/6/7, , , , , , 
2019/6/8, , , , , , 
2019/6/9, , , , , , 
