date, pm25, pm10, o3, no2, so2, co
2018/6/26, 15, 31, , , , 3
2018/6/27, 12, 29, , , , 3
2018/6/28, 11, 36, , , , 3
2018/1/5, 4, 51, , , , 2
2018/1/6, 20, 97, , , , 2
2018/1/7, 30, 88, , , , 2
2018/1/8, 40, 77, , , , 2
2018/1/9, 17, 72, , , , 2
2018/1/10, 16, 109, , , , 2
2018/1/11, 33, 107, , , , 2
2018/1/12, 19, 53, , , , 2
2018/1/13, 7, 41, , , , 2
2018/1/14, 11, 45, , , , 2
2018/1/15, 15, 64, , , , 2
2018/1/16, 17, 43, , , , 2
2018/1/17, 7, 37, , , , 2
2018/1/18, 12, 70, , , , 2
2018/1/19, 29, 108, , , , 2
2018/1/20, 43, 93, , , , 2
2018/1/21, 26, 75, , , , 2
2018/1/22, 30, 106, , , , 2
2018/1/23, 15, 44, , , , 2
2018/1/24, 8, 36, , , , 2
2018/1/25, 8, 30, , , , 2
2018/1/26, 7, 119, , , , 3
2018/1/27, 48, 97, , , , 2
2018/1/28, 33, 31, , , , 2
2018/1/29, 16, 74, , , , 2
2018/1/30, 9, 40, , , , 2
2018/1/31, 10, 60, , , , 2
2018/2/1, 16, 109, , , , 3
2018/2/2, 30, 50, , , , 2
2018/2/3, 10, 83, , , , 2
2018/2/4, 22, 94, , , , 2
2018/2/5, 16, 52, , , , 2
2018/2/6, 21, 98, , , , 3
2018/2/7, 33, 88, , , , 3
2018/2/8, 25, 50, , , , 2
2018/2/9, 15, 91, , , , 3
2018/2/10, 31, 78, , , , 3
2018/2/11, 25, 56, , , , 2
2018/2/12, 11, 29, , , , 2
2018/2/13, 9, 60, , , , 3
2018/2/14, 25, 94, , , , 3
2018/2/15, 35, 109, , , , 3
2018/2/16, 43, 88, , , , 3
2018/2/17, 26, 67, , , , 2
2018/2/18, 27, 79, , , , 2
2018/2/19, 16, 53, , , , 2
2018/2/20, 19, 76, , , , 3
2018/2/21, 26, 74, , , , 2
2018/2/22, 23, 58, , , , 2
2018/2/23, 20, 95, , , , 3
2018/2/24, 40, 89, , , , 3
2018/2/25, 38, 49, , , , 2
2018/2/26, 21, 42, , , , 2
2018/2/27, 24, 50, , , , 2
2018/2/28, 20, 87, , , , 1
2018/3/1, 10, 140, , , , 
2018/3/2, 6, 37, , , , 1
2018/3/3, 7, 40, , , , 
2018/3/7, 3, 39, , , , 
2018/3/8, 10, 37, , , , 
2018/3/9, 10, 53, , , , 
2018/3/10, 18, 68, , , , 
2018/3/11, 24, 73, , , , 
2018/3/12, 17, 31, , , , 
2018/3/13, 9, 36, , , , 
2018/3/14, 14, 21, , , , 
2018/3/15, 6, 51, , , , 
2018/3/16, 20, 64, , , , 
2018/3/17, 21, 46, , , , 
2018/3/18, 13, 56, , , , 
2018/3/19, 19, 52, , , , 
2018/3/20, 13, 59, , , , 
2018/3/21, 14, 43, , , , 
2018/3/22, 12, 35, , , , 
2018/3/23, 9, 43, , , , 
2018/3/24, 17, 66, , , , 
2018/3/25, 26, 59, , , , 
2018/3/26, 30, 71, , , , 
2018/3/27, 29, 71, , , , 
2018/3/28, 31, 74, , , , 
2018/3/29, 32, 44, , , , 
2018/3/30, 14, 36, , , , 
2018/3/31, 18, 38, , , , 
2018/4/1, 16, 49, , , , 
2017/10/3, 7, 43, , , , 1
2017/10/4, 8, 58, , , , 1
2017/10/5, 8, 14, , , , 1
2017/10/6, 8, 16, , , , 1
2017/10/7, 16, 36, , , , 1
2017/10/8, 21, 54, , , , 1
2017/10/9, 10, 25, , , , 1
2017/10/10, 20, 55, , , , 1
2017/10/11, 14, 36, , , , 1
2017/10/12, 5, 90, , , , 1
2017/10/13, 24, 92, , , , 
2017/10/14, 13, 34, , , , 
2017/10/15, 7, 15, , , , 1
2017/10/16, 8, 60, , , , 1
2017/10/17, 6, 28, , , , 1
2017/10/18, 14, 48, , , , 1
2017/10/19, 12, 42, , , , 1
2017/10/20, 13, 46, , , , 1
2017/10/21, 21, 53, , , , 1
2017/10/22, 27, 64, , , , 1
2017/10/23, 21, 54, , , , 1
2017/10/24, 10, 29, , , , 1
2017/10/25, 11, 33, , , , 1
2017/10/26, 9, 43, , , , 1
2017/10/27, 18, 64, , , , 1
2017/10/28, 12, 127, , , , 1
2017/10/29, 7, 47, , , , 1
2017/10/30, 11, 36, , , , 1
2017/10/31, 20, 69, , , , 1
2017/11/1, 18, 68, , , , 1
2017/11/4, 35, 86, , , , 1
2017/11/5, 37, 77, , , , 1
2017/11/6, 32, 65, , , , 1
2017/11/7, 25, 66, , , , 1
2017/11/8, 26, 75, , , , 1
2017/11/9, 16, 58, , , , 1
2017/11/10, 14, 41, , , , 1
2017/11/11, 13, 28, , , , 1
2017/11/12, 22, 41, , , , 1
2017/11/13, 23, 50, , , , 1
2017/11/14, 13, 43, , , , 1
2017/11/15, 11, 31, , , , 1
2017/11/16, 26, 74, , , , 1
2017/11/17, 20, 55, , , , 1
2017/11/18, 24, 65, , , , 1
2017/11/19, 16, 76, , , , 1
2017/11/20, 5, 32, , , , 1
2017/11/21, 10, 28, , , , 1
2017/11/22, 16, 63, , , , 1
2017/11/23, 8, 49, , , , 1
2017/11/24, 13, 55, , , , 1
2017/11/25, 15, 66, , , , 1
2017/11/26, 18, 72, , , , 1
2017/11/27, 13, 50, , , , 1
2017/11/28, 10, 38, , , , 1
2017/11/29, 24, 69, , , , 1
2017/11/30, 21, 72, , , , 1
2017/12/1, 15, 53, , , , 1
2017/12/2, 12, 42, , , , 1
2017/12/6, 4, 72, , , , 1
