_id,date,validoorig,city,state,valororig,parametro,estacionesid,id,hora,fecha
5ccceac8e2705c1932344666,2018-01-03T04:00:00.000Z,1,Guadalajara,Jalisco,28.828,PM10,101,101PM1018010304,4,2018-01-03
5ccceac8e2705c1932344667,2018-01-03T05:00:00.000Z,1,Guadalajara,Jalisco,24.282,PM10,101,101PM1018010305,5,2018-01-03
5ccceac8e2705c1932344668,2018-01-03T06:00:00.000Z,1,Guadalajara,Jalisco,26.586,PM10,101,101PM1018010306,6,2018-01-03
5ccceac8e2705c1932344669,2018-01-03T07:00:00.000Z,1,Guadalajara,Jalisco,37.867,PM10,101,101PM1018010307,7,2018-01-03
5ccceac8e2705c193234466a,2018-01-03T08:00:00.000Z,1,Guadalajara,Jalisco,39.233,PM10,101,101PM1018010308,8,2018-01-03
5ccceac8e2705c193234466b,2018-01-03T09:00:00.000Z,1,Guadalajara,Jalisco,67.715,PM10,101,101PM1018010309,9,2018-01-03
5ccceac8e2705c193234466c,2018-01-03T10:00:00.000Z,1,Guadalajara,Jalisco,71.96,PM10,101,101PM1018010310,10,2018-01-03
5ccceac8e2705c193234466d,2018-01-03T11:00:00.000Z,1,Guadalajara,Jalisco,68.753,PM10,101,101PM1018010311,11,2018-01-03
5ccceac8e2705c193234466e,2018-01-03T12:00:00.000Z,1,Guadalajara,Jalisco,51.501,PM10,101,101PM1018010312,12,2018-01-03
5ccceac8e2705c193234466f,2018-01-03T13:00:00.000Z,1,Guadalajara,Jalisco,43.916,PM10,101,101PM1018010313,13,2018-01-03
5ccceac8e2705c1932344670,2018-01-03T14:00:00.000Z,1,Guadalajara,Jalisco,38.657,PM10,101,101PM1018010314,14,2018-01-03
5ccceac8e2705c1932344671,2018-01-03T15:00:00.000Z,1,Guadalajara,Jalisco,24.631,PM10,101,101PM1018010315,15,2018-01-03
5ccceac8e2705c1932344672,2018-01-03T16:00:00.000Z,1,Guadalajara,Jalisco,28.522,PM10,101,101PM1018010316,16,2018-01-03
5ccceac8e2705c1932344673,2018-01-03T17:00:00.000Z,1,Guadalajara,Jalisco,39.022,PM10,101,101PM1018010317,17,2018-01-03
5ccceac8e2705c1932344674,2018-01-03T18:00:00.000Z,1,Guadalajara,Jalisco,49.447,PM10,101,101PM1018010318,18,2018-01-03
5ccceac8e2705c1932344675,2018-01-03T19:00:00.000Z,1,Guadalajara,Jalisco,63.813,PM10,101,101PM1018010319,19,2018-01-03
5ccceac8e2705c1932344676,2018-01-03T20:00:00.000Z,1,Guadalajara,Jalisco,88.734,PM10,101,101PM1018010320,20,2018-01-03
5ccceac8e2705c1932344677,2018-01-03T21:00:00.000Z,1,Guadalajara,Jalisco,67.828,PM10,101,101PM1018010321,21,2018-01-03
5ccceac8e2705c1932344678,2018-01-03T22:00:00.000Z,1,Guadalajara,Jalisco,66.339,PM10,101,101PM1018010322,22,2018-01-03
5ccceac8e2705c1932344679,2018-01-03T23:00:00.000Z,1,Guadalajara,Jalisco,66.948,PM10,101,101PM1018010323,23,2018-01-03
5ccceac8e2705c193234467a,2018-01-04T00:00:00.000Z,1,Guadalajara,Jalisco,57.45,PM10,101,101PM1018010400,0,2018-01-04
5ccceac8e2705c193234467b,2018-01-04T01:00:00.000Z,1,Guadalajara,Jalisco,59.236,PM10,101,101PM1018010401,1,2018-01-04
5ccceac8e2705c193234467c,2018-01-04T02:00:00.000Z,1,Guadalajara,Jalisco,74.176,PM10,101,101PM1018010402,2,2018-01-04
5ccceac8e2705c193234467d,2018-01-04T03:00:00.000Z,1,Guadalajara,Jalisco,56.855,PM10,101,101PM1018010403,3,2018-01-04
5ccceac8e2705c193234467e,2018-01-04T04:00:00.000Z,1,Guadalajara,Jalisco,38.018,PM10,101,101PM1018010404,4,2018-01-04
5ccceac8e2705c193234467f,2018-01-04T05:00:00.000Z,1,Guadalajara,Jalisco,41.228,PM10,101,101PM1018010405,5,2018-01-04
5ccceac8e2705c1932344680,2018-01-04T06:00:00.000Z,1,Guadalajara,Jalisco,57.35,PM10,101,101PM1018010406,6,2018-01-04
5ccceac8e2705c1932344681,2018-01-04T07:00:00.000Z,1,Guadalajara,Jalisco,55.493,PM10,101,101PM1018010407,7,2018-01-04
5ccceac8e2705c1932344682,2018-01-04T08:00:00.000Z,1,Guadalajara,Jalisco,41.713,PM10,101,101PM1018010408,8,2018-01-04
5ccceac8e2705c1932344683,2018-01-04T09:00:00.000Z,1,Guadalajara,Jalisco,58.677,PM10,101,101PM1018010409,9,2018-01-04
5ccceac8e2705c1932344684,2018-01-04T10:00:00.000Z,1,Guadalajara,Jalisco,72.737,PM10,101,101PM1018010410,10,2018-01-04
5ccceac8e2705c1932344685,2018-01-04T11:00:00.000Z,1,Guadalajara,Jalisco,59.344,PM10,101,101PM1018010411,11,2018-01-04
5ccceac8e2705c1932344686,2018-01-04T12:00:00.000Z,1,Guadalajara,Jalisco,45.628,PM10,101,101PM1018010412,12,2018-01-04
5ccceac8e2705c1932344687,2018-01-04T13:00:00.000Z,1,Guadalajara,Jalisco,35.303,PM10,101,101PM1018010413,13,2018-01-04
5ccceac8e2705c1932344688,2018-01-04T14:00:00.000Z,1,Guadalajara,Jalisco,31.232,PM10,101,101PM1018010414,14,2018-01-04
5ccceac8e2705c1932344689,2018-01-04T15:00:00.000Z,1,Guadalajara,Jalisco,26.591,PM10,101,101PM1018010415,15,2018-01-04
5ccceac8e2705c193234468a,2018-01-04T16:00:00.000Z,1,Guadalajara,Jalisco,45.925,PM10,101,101PM1018010416,16,2018-01-04
5ccceac8e2705c193234468b,2018-01-04T17:00:00.000Z,1,Guadalajara,Jalisco,50.13,PM10,101,101PM1018010417,17,2018-01-04
5ccceac8e2705c193234468c,2018-01-04T18:00:00.000Z,1,Guadalajara,Jalisco,42.325,PM10,101,101PM1018010418,18,2018-01-04
5ccceac8e2705c193234468d,2018-01-04T19:00:00.000Z,1,Guadalajara,Jalisco,53.675,PM10,101,101PM1018010419,19,2018-01-04
5ccceac8e2705c193234468e,2018-01-04T20:00:00.000Z,1,Guadalajara,Jalisco,71.032,PM10,101,101PM1018010420,20,2018-01-04
5ccceac8e2705c193234468f,2018-01-04T21:00:00.000Z,1,Guadalajara,Jalisco,75.469,PM10,101,101PM1018010421,21,2018-01-04
5ccceac8e2705c1932344690,2018-01-04T22:00:00.000Z,1,Guadalajara,Jalisco,64.028,PM10,101,101PM1018010422,22,2018-01-04
5ccceac8e2705c1932344691,2018-01-04T23:00:00.000Z,1,Guadalajara,Jalisco,40.559,PM10,101,101PM1018010423,23,2018-01-04
5ccceac8e2705c1932344692,2018-01-05T00:00:00.000Z,1,Guadalajara,Jalisco,26.148,PM10,101,101PM1018010500,0,2018-01-05
5ccceac8e2705c1932344693,2018-01-05T01:00:00.000Z,1,Guadalajara,Jalisco,29.839,PM10,101,101PM1018010501,1,2018-01-05
5ccceac8e2705c1932344694,2018-01-05T02:00:00.000Z,1,Guadalajara,Jalisco,23.91,PM10,101,101PM1018010502,2,2018-01-05
5ccceac8e2705c1932344695,2018-01-05T03:00:00.000Z,1,Guadalajara,Jalisco,21.827,PM10,101,101PM1018010503,3,2018-01-05
5ccceac8e2705c1932344696,2018-01-05T04:00:00.000Z,1,Guadalajara,Jalisco,22.35,PM10,101,101PM1018010504,4,2018-01-05
5ccceac8e2705c1932344697,2018-01-05T05:00:00.000Z,1,Guadalajara,Jalisco,23.794,PM10,101,101PM1018010505,5,2018-01-05
5ccceac8e2705c1932344698,2018-01-05T06:00:00.000Z,1,Guadalajara,Jalisco,29.641,PM10,101,101PM1018010506,6,2018-01-05
5ccceac8e2705c1932344699,2018-01-05T07:00:00.000Z,1,Guadalajara,Jalisco,40.967,PM10,101,101PM1018010507,7,2018-01-05
5ccceac8e2705c193234469a,2018-01-05T08:00:00.000Z,1,Guadalajara,Jalisco,42.761,PM10,101,101PM1018010508,8,2018-01-05
5ccceac8e2705c193234469b,2018-01-05T09:00:00.000Z,1,Guadalajara,Jalisco,48.303,PM10,101,101PM1018010509,9,2018-01-05
5ccceac8e2705c193234469c,2018-01-05T10:00:00.000Z,1,Guadalajara,Jalisco,69.27,PM10,101,101PM1018010510,10,2018-01-05
5ccceac8e2705c193234469d,2018-01-05T11:00:00.000Z,1,Guadalajara,Jalisco,64.145,PM10,101,101PM1018010511,11,2018-01-05
5ccceac8e2705c193234469e,2018-01-05T12:00:00.000Z,1,Guadalajara,Jalisco,64.231,PM10,101,101PM1018010512,12,2018-01-05
5ccceac8e2705c193234469f,2018-01-05T13:00:00.000Z,1,Guadalajara,Jalisco,73.45,PM10,101,101PM1018010513,13,2018-01-05
5ccceac8e2705c19323446a0,2018-01-05T14:00:00.000Z,1,Guadalajara,Jalisco,44.568,PM10,101,101PM1018010514,14,2018-01-05
5ccceac8e2705c19323446a1,2018-01-05T15:00:00.000Z,1,Guadalajara,Jalisco,28.326,PM10,101,101PM1018010515,15,2018-01-05
5ccceac8e2705c19323446a2,2018-01-05T16:00:00.000Z,1,Guadalajara,Jalisco,15.189,PM10,101,101PM1018010516,16,2018-01-05
5ccceac8e2705c19323446a3,2018-01-05T17:00:00.000Z,1,Guadalajara,Jalisco,26.013,PM10,101,101PM1018010517,17,2018-01-05
5ccceac8e2705c19323446a4,2018-01-05T18:00:00.000Z,1,Guadalajara,Jalisco,28.993,PM10,101,101PM1018010518,18,2018-01-05
5ccceac8e2705c19323446a5,2018-01-05T19:00:00.000Z,1,Guadalajara,Jalisco,50.401,PM10,101,101PM1018010519,19,2018-01-05
